country_name,country_iso_code
Австралия,036
Австрия,040
Азербайджан,031
Аландские острова,248
Албания,008
Алжир,012
Виргинские Острова (США),850
Американское Самоа,016
Ангилья,660
Ангола,024
Андорра,020
Антарктика,010
Антигуа и Барбуда,028
Аргентина,032
Армения,051
Аруба,533
Афганистан,004
Багамские Острова,044
Бангладеш,050
Барбадос,052
Бахрейн,048
Белиз,084
Белоруссия,112
Бельгия,056
Бенин,204
Бермуды,060
Болгария,100
Боливия,068
Бонайре/Синт-Эстатиус и Саба,535
Босния и Герцеговина,070
Ботсвана,072
Бразилия,076
Британская территория в Индийском океане,086
Виргинские Острова (Великобритания),092
Бруней,096
Буркина-Фасо,854
Бурунди,108
Бутан,064
Вануату,548
Ватикан,336
Великобритания,826
Венгрия,348
Венесуэла,862
Внешние малые острова США,581
Восточный Тимор,626
Вьетнам,704
Габон,266
Гаити,332
Гайана,328
Гамбия,270
Гана,288
Гваделупа,312
Гватемала,320
Гвиана,254
Гвинея,324
Гвинея-Бисау,624
Германия,276
Гернси,831
Гибралтар,292
Гондурас,340
Гонконг,344
Гренада,308
Гренландия,304
Греция,300
Грузия,268
Гуам,316
Дания,208
Джерси,832
Джибути,262
Доминика,212
Доминиканская Республика,214
ДР Конго,180
Египет,818
Замбия,894
САДР (Сахарская Арабская Демократическая Республика),732
Зимбабве,716
Израиль,376
Индия,356
Индонезия,360
Иордания,400
Ирак,368
Иран,364
Ирландия,372
Исландия,352
Испания,724
Италия,380
Йемен,887
Кабо-Верде,132
Казахстан,398
Острова Кайман,136
Камбоджа,116
Камерун,120
Канада,124
Катар,634
Кения,404
Кипр,196
Киргизия,417
Кирибати,296
Китайская Республика (Тайвань),158
КНДР (Корейская Народно-Демократическая Республика),408
Китай (Китайская Народная Республика),156
Кокосовые острова,166
Колумбия,170
Коморы,174
Коста-Рика,188
Кот-д’Ивуар,384
Куба,192
Кувейт,414
Кюрасао,531
Лаос,418
Латвия,428
Лесото,426
Либерия,430
Ливан,422
Ливия,434
Литва,440
Лихтенштейн,438
Люксембург,442
Маврикий,480
Мавритания,478
Мадагаскар,450
Майотта,175
Макао (Китай),446
Северная Македония,807
Малави,454
Малайзия,458
Мали,466
Мальдивы,462
Мальта,470
Марокко,504
Мартиника,474
Маршалловы Острова,584
Мексика,484
Микронезия,583
Мозамбик,508
Молдавия,498
Монако,492
Монголия,496
Монтсеррат,500
Мьянма,104
Намибия,516
Науру,520
Непал,524
Нигер,562
Нигерия,566
Нидерланды,528
Никарагуа,558
Ниуэ,570
Новая Зеландия,554
Новая Каледония,540
Норвегия,578
ОАЭ,784
Оман,512
Остров Буве,074
Остров Мэн,833
Острова Кука,184
Остров Норфолк,574
Остров Рождества,162
Острова Питкэрн,612
Острова Святой Елены/Вознесения и Тристан-да-Кунья,654
Пакистан,586
Палау,585
Государство Палестина,275
Панама,591
Папуа — Новая Гвинея,598
Парагвай,600
Перу,604
Польша,616
Португалия,620
Пуэрто-Рико,630
Республика Конго,178
Республика Корея,410
Реюньон,638
Россия,643
Руанда,646
Румыния,642
Сальвадор,222
Самоа,882
Сан-Марино,674
Сан-Томе и Принсипи,678
Саудовская Аравия,682
Эсватини,748
Северные Марианские Острова,580
Сейшельские Острова,690
Сен-Бартелеми,652
Сен-Мартен,663
Сен-Пьер и Микелон,666
Сенегал,686
Сент-Винсент и Гренадины,670
Сент-Китс и Невис,659
Сент-Люсия,662
Сербия,688
Сингапур,702
Синт-Мартен,534
Сирия,760
Словакия,703
Словения,705
Соломоновы Острова,090
Сомали,706
Судан,729
Суринам,740
США,840
Сьерра-Леоне,694
Таджикистан,762
Таиланд,764
Танзания,834
Теркс и Кайкос,796
Того,768
Токелау,772
Тонга,776
Тринидад и Тобаго,780
Тувалу,798
Тунис,788
Туркмения,795
Турция,792
Уганда,800
Узбекистан,860
Украина,804
Уоллис и Футуна,876
Уругвай,858
Фарерские острова,234
Фиджи,242
Филиппины,608
Финляндия,246
Фолклендские острова,238
Франция,250
Французская Полинезия,258
Французские Южные и Антарктические территории,260
Херд и Макдональд,334
Хорватия,191
ЦАР,140
Чад,148
Черногория,499
Чехия,203
Чили,152
Швейцария,756
Швеция,752
Шпицберген и Ян-Майен,744
Шри-Ланка,144
Эквадор,218
Экваториальная Гвинея,226
Эритрея,232
Эстония,233
Эфиопия,231
ЮАР,710
Южная Георгия и Южные Сандвичевы Острова,239
Южный Судан,728
Ямайка,388
Япония,392
Луганская Народная Республика,898
Донецкая Народная Республика,897
Республика Южная Осетия,896
Республика Абхазия,895
Судан,736
Куба,530
Страна-производитель неизвестна,""
